,playerid,web_name,element_type,now_cost,team,expected_goals.gw,expected_assists.gw,expected_goal_involvements.gw,expected_goals_conceded.gw,XGI_Weighted,XGC_Weighted,AttackOpp_pergame,DefenceOpp_pergame
33,48.0,McGinn,3.0,52.0,2.0,0.1175,0.1675,0.285,1.4075000000000002,0.3887056561105774,2.097986562605,0.5979261703424249,0.5471032109756377
34,52.0,Pau,2.0,43.0,2.0,0.0675,0.0175,0.085,1.475,0.3887056561105774,2.097986562605,0.17832885782142502,0.5733408427631016
35,53.0,Ramsey,3.0,54.0,2.0,0.0,0.0,0.0,0.0,0.3887056561105774,2.097986562605,0.0,0.0
36,54.0,Rogers,3.0,55.0,2.0,0.1275,0.21250000000000002,0.33999999999999997,1.3325,0.3887056561105774,2.097986562605,0.7133154312857,0.5179502867673444
37,57.0,Tielemans,3.0,55.0,2.0,0.0,0.1475,0.1475,0.7625,0.3887056561105774,2.097986562605,0.30945301798423747,0.29638806278431523
38,58.0,Watkins,4.0,88.0,2.0,0.11499999999999999,0.105,0.22,0.8200000000000001,0.3887056561105774,2.097986562605,0.46155704377310003,0.3187386380106735
39,60.0,Adams,3.0,49.0,3.0,0.01,0.0075,0.0175,0.795,0.48313075312553994,1.92051863233125,0.033609076065796877,0.38408894873480426
40,61.0,Anthony,3.0,45.0,3.0,0.0,0.0,0.0,0.0,0.48313075312553994,1.92051863233125,0.0,0.0
41,62.0,Brooks,3.0,49.0,3.0,0.085,0.005,0.09000000000000001,0.44499999999999995,0.48313075312553994,1.92051863233125,0.17284667690981254,0.21499318514086524
42,63.0,Christie,3.0,49.0,3.0,0.0675,0.2,0.2675,1.5274999999999999,0.48313075312553994,1.92051863233125,0.5137387341486094,0.7379822253992622
43,64.0,Cook,3.0,50.0,3.0,0.025,0.0525,0.0775,1.3,0.48313075312553994,1.92051863233125,0.1488401940056719,0.6280699790632019
44,65.0,Enes Ünal,4.0,54.0,3.0,0.33999999999999997,0.02,0.36,0.6025,0.48313075312553994,1.92051863233125,0.69138670763925,0.29108627875813786
45,66.0,Faivre,3.0,50.0,3.0,0.0,0.0,0.0,0.0,0.48313075312553994,1.92051863233125,0.0,0.0
46,67.0,H.Traorè,3.0,45.0,3.0,0.0,0.0,0.0,0.0,0.48313075312553994,1.92051863233125,0.0,0.0
47,69.0,Jebbison,4.0,45.0,3.0,0.0,0.0,0.0,0.0,0.48313075312553994,1.92051863233125,0.0,0.0
48,70.0,Kerkez,2.0,47.0,3.0,0.04,0.06,0.1,1.5525,0.48313075312553994,1.92051863233125,0.192051863233125,0.7500604942274007
49,71.0,Kluivert,3.0,55.0,3.0,0.335,0.0375,0.3725,1.0175,0.48313075312553994,1.92051863233125,0.7153931905433906,0.4915855413052369
50,74.0,O.Dango,3.0,50.0,3.0,0.34750000000000003,0.125,0.47250000000000003,1.3375,0.48313075312553994,1.92051863233125,0.9074450537765157,0.6461873823054096
51,76.0,Philip,3.0,48.0,3.0,0.085,0.11499999999999999,0.2,0.46,0.48313075312553994,1.92051863233125,0.38410372646625,0.2222401464377484
52,77.0,Scott,3.0,47.0,3.0,0.0,0.0,0.0,0.0,0.48313075312553994,1.92051863233125,0.0,0.0
53,78.0,Semenyo,3.0,56.0,3.0,0.28,0.0625,0.3425,1.1575,0.48313075312553994,1.92051863233125,0.6577776315734531,0.5592238467428124
54,80.0,Sinisterra,3.0,48.0,3.0,0.0,0.0,0.0,0.0,0.48313075312553994,1.92051863233125,0.0,0.0
55,82.0,Solanke,4.0,75.0,18.0,0.4525,0.060000000000000005,0.5125,2.3449999999999998,0.5285269848628942,1.27004472104875,0.6508979195374843,1.2393957795034867
56,83.0,Tavernier,3.0,54.0,3.0,0.2525,0.0175,0.27,0.2825,0.48313075312553994,1.92051863233125,0.5185400307294376,0.13648443775796504
57,85.0,Zabarnyi,2.0,44.0,3.0,0.03,0.0475,0.0775,1.5525,0.48313075312553994,1.92051863233125,0.1488401940056719,0.7500604942274007
58,87.0,Brierley,3.0,44.0,4.0,0.0,0.0,0.0,0.0,0.6681291324528429,1.6863001004858333,0.0,0.0
59,88.0,Collins,2.0,46.0,4.0,0.07250000000000001,0.065,0.1375,1.475,0.6681291324528429,1.6863001004858333,0.2318662638168021,0.9854904703679433
60,89.0,Damsgaard,3.0,50.0,4.0,0.0925,0.16,0.2525,1.115,0.6681291324528429,1.6863001004858333,0.4257907753726729,0.7449639826849198
61,90.0,Dasilva,3.0,48.0,4.0,0.0,0.0,0.0,0.0,0.6681291324528429,1.6863001004858333,0.0,0.0
62,91.0,Flekken,1.0,45.0,4.0,0.0,0.0125,0.0125,1.3175,0.6681291324528429,1.6863001004858333,0.02107875125607292,0.8802601320066205
63,94.0,Janelt,3.0,49.0,4.0,0.02,0.19,0.21,0.6075,0.6681291324528429,1.6863001004858333,0.354123021102025,0.4058884479651021
64,95.0,Jensen,3.0,53.0,4.0,0.0,0.0,0.0,0.0,0.6681291324528429,1.6863001004858333,0.0,0.0
65,97.0,Konak,3.0,45.0,4.0,0.0,0.0,0.0,0.0,0.6681291324528429,1.6863001004858333,0.0,0.0
66,98.0,Lewis-Potter,3.0,50.0,4.0,0.09999999999999999,0.042499999999999996,0.14250000000000002,1.44,0.6681291324528429,1.6863001004858333,0.24029776431923128,0.9621059507320938
67,99.0,Mbeumo,3.0,76.0,4.0,0.2525,0.2525,0.505,1.475,0.6681291324528429,1.6863001004858333,0.8515815507453458,0.9854904703679433
