,playerid,web_name,element_type_x,now_cost,team,expected_goals.gw,expected_assists.gw,expected_goal_involvements.gw,expected_goals_conceded.gw,XGI_Weighted,XGC_Weighted,AttackOpp_pergame,DefenceOpp_pergame,element,position,multiplier,is_captain,is_vice_captain,element_type_y,IsInCurrentTeam
30,44.0,Konsa,2.0,44.0,2.0,0.024999999999999998,0.02428571428571429,0.04928571428571427,0.995,0.3414026278788758,2.401128280467727,0.11834132239448084,0.33969561473948146,,,,,,,N
31,47.0,Martinez,1.0,50.0,2.0,0.0,0.0007142857142857143,0.0007142857142857143,1.1821428571428572,0.3414026278788758,2.401128280467727,0.0017150916289055196,0.40358667795681397,,,,,,,N
32,48.0,McGinn,3.0,52.0,2.0,0.09999999999999999,0.0842857142857143,0.18428571428571427,0.7771428571428572,0.3414026278788758,2.401128280467727,0.4424936402576241,0.26531861366586923,,,,,,,N
33,52.0,Pau,2.0,44.0,2.0,0.017142857142857144,0.019285714285714288,0.03642857142857143,1.1649999999999998,0.3414026278788758,2.401128280467727,0.08746967307418149,0.3977340614788903,,,,,,,N
34,53.0,Ramsey,3.0,54.0,2.0,0.04928571428571429,0.08357142857142859,0.13285714285714284,0.6728571428571428,0.3414026278788758,2.401128280467727,0.31900704297642657,0.22971519675850072,,,,,,,N
35,54.0,Rogers,3.0,54.0,2.0,0.20928571428571427,0.13214285714285715,0.34142857142857147,1.0085714285714287,0.3414026278788758,2.401128280467727,0.8198137986168383,0.34432893611783766,,,,,,,N
36,57.0,Tielemans,3.0,55.0,2.0,0.09642857142857143,0.2292857142857143,0.3257142857142857,1.2235714285714285,0.3414026278788758,2.401128280467727,0.7820817827809168,0.417730501111796,,,,,,,N
37,58.0,Watkins,4.0,89.0,2.0,0.5750000000000001,0.047142857142857146,0.6221428571428572,0.9371428571428573,0.3414026278788758,2.401128280467727,1.4938448087767073,0.3199430341264894,58.0,11.0,2.0,True,False,4.0,Y
38,60.0,Adams,3.0,49.0,3.0,0.05357142857142856,0.005714285714285714,0.05928571428571429,0.2764285714285714,0.326922530099588,2.4481916278833333,0.14514278936736905,0.09037072796324326,,,,,,,N
39,61.0,Anthony,3.0,45.0,3.0,0.0,0.0,0.0,0.0,0.326922530099588,2.4481916278833333,0.0,0.0,,,,,,,N
40,62.0,Brooks,3.0,49.0,3.0,0.014285714285714289,0.04785714285714286,0.062142857142857146,0.12928571428571428,0.326922530099588,2.4481916278833333,0.15213762258989288,0.04226641282001816,,,,,,,N
41,63.0,Christie,3.0,49.0,3.0,0.04,0.06571428571428571,0.10571428571428572,0.7535714285714287,0.326922530099588,2.4481916278833333,0.25880882923338094,0.24635947803933245,,,,,,,N
42,64.0,Cook,3.0,50.0,3.0,0.032857142857142856,0.12785714285714286,0.16071428571428573,1.0985714285714285,0.326922530099588,2.4481916278833333,0.39345936876696436,0.3591477509236903,,,,,,,N
43,65.0,Enes Ünal,4.0,54.0,3.0,0.09428571428571429,0.01,0.10428571428571429,0.25142857142857145,0.326922530099588,2.4481916278833333,0.25531141262211904,0.08219766471075356,,,,,,,N
44,66.0,Faivre,3.0,50.0,3.0,0.0,0.0,0.0,0.0,0.326922530099588,2.4481916278833333,0.0,0.0,,,,,,,N
45,67.0,H.Traorè,3.0,45.0,3.0,0.0,0.0,0.0,0.0,0.326922530099588,2.4481916278833333,0.0,0.0,,,,,,,N
46,69.0,Jebbison,4.0,45.0,3.0,0.0,0.0,0.0,0.02428571428571429,0.326922530099588,2.4481916278833333,0.0,0.007939547159561425,,,,,,,N
47,70.0,Kerkez,2.0,47.0,3.0,0.016428571428571428,0.08499999999999999,0.10142857142857142,1.1642857142857144,0.326922530099588,2.4481916278833333,0.24831657939959523,0.3806312314730918,,,,,,,N
48,71.0,Kluivert,3.0,55.0,3.0,0.3457142857142857,0.07142857142857142,0.41714285714285715,0.7492857142857143,0.326922530099588,2.4481916278833333,1.0212456504884762,0.24495838148176277,,,,,,,N
49,74.0,O.Dango,3.0,50.0,3.0,0.1692857142857143,0.08071428571428572,0.25,0.43928571428571433,0.326922530099588,2.4481916278833333,0.6120479069708333,0.14361239715089047,,,,,,,N
50,76.0,Philip,3.0,48.0,3.0,0.0,0.032857142857142856,0.032857142857142856,0.045714285714285714,0.326922530099588,2.4481916278833333,0.0804405820590238,0.014945029947409738,,,,,,,N
51,77.0,Scott,3.0,47.0,3.0,0.008571428571428572,0.012142857142857144,0.020714285714285716,0.2621428571428571,0.326922530099588,2.4481916278833333,0.05071254086329762,0.0857004061046777,,,,,,,N
52,78.0,Semenyo,3.0,57.0,3.0,0.28785714285714287,0.15142857142857144,0.43928571428571433,1.122857142857143,0.326922530099588,2.4481916278833333,1.075455607963036,0.3670872980832517,78.0,8.0,1.0,False,False,3.0,Y
53,79.0,Senesi,2.0,47.0,3.0,0.05785714285714285,0.03142857142857143,0.0892857142857143,0.8600000000000001,0.326922530099588,2.4481916278833333,0.21858853820386906,0.28115337588564576,,,,,,,N
54,80.0,Sinisterra,3.0,49.0,3.0,0.07785714285714286,0.065,0.14285714285714285,0.24857142857142858,0.326922530099588,2.4481916278833333,0.3497416611261905,0.08126360033904045,,,,,,,N
