,minutes_x,playerid,web_name,element_type,team,now_cost,expected_goals.gw,expected_assists.gw,expected_goal_involvements.gw,expected_goals_conceded.gw
9142,0.0,347.0,Ederson M.,1.0,13.0,53.0,0.00,0.00,0.00,0.00
9143,0.0,347.0,Ederson M.,1.0,13.0,53.0,0.00,0.00,0.00,0.00
9144,90.0,347.0,Ederson M.,1.0,13.0,53.0,0.00,0.00,0.00,2.08
9145,0.0,347.0,Ederson M.,1.0,13.0,53.0,0.00,0.00,0.00,0.00
9159,0.0,348.0,Foden,3.0,13.0,92.0,0.00,0.00,0.00,0.00
9160,0.0,348.0,Foden,3.0,13.0,92.0,0.00,0.00,0.00,0.00
9161,90.0,348.0,Foden,3.0,13.0,92.0,0.19,0.25,0.44,2.08
9162,90.0,348.0,Foden,3.0,13.0,92.0,0.44,0.04,0.48,1.67
9176,89.0,349.0,Grealish,3.0,13.0,64.0,0.10,0.12,0.22,1.04
9177,4.0,349.0,Grealish,3.0,13.0,64.0,0.00,0.00,0.00,0.11
9178,13.0,349.0,Grealish,3.0,13.0,64.0,0.00,0.00,0.00,1.41
9179,90.0,349.0,Grealish,3.0,13.0,64.0,0.10,0.27,0.37,1.67
9193,90.0,350.0,Gvardiol,2.0,13.0,60.0,0.56,0.02,0.58,1.04
9194,90.0,350.0,Gvardiol,2.0,13.0,60.0,0.11,0.03,0.14,1.34
9195,90.0,350.0,Gvardiol,2.0,13.0,60.0,0.08,0.02,0.10,2.08
9196,90.0,350.0,Gvardiol,2.0,13.0,60.0,0.35,0.02,0.37,1.67
9210,90.0,351.0,Haaland,4.0,13.0,148.0,0.17,0.29,0.46,1.04
9211,90.0,351.0,Haaland,4.0,13.0,148.0,0.69,0.12,0.81,1.34
9212,90.0,351.0,Haaland,4.0,13.0,148.0,0.14,0.01,0.15,2.08
9213,90.0,351.0,Haaland,4.0,13.0,148.0,0.11,0.04,0.15,1.67
9227,0.0,352.0,J.Alvarez,4.0,13.0,70.0,0.00,0.00,0.00,0.00
9228,0.0,352.0,J.Alvarez,4.0,13.0,70.0,0.00,0.00,0.00,0.00
9229,0.0,352.0,J.Alvarez,4.0,13.0,70.0,0.00,0.00,0.00,0.00
9230,0.0,352.0,J.Alvarez,4.0,13.0,70.0,0.00,0.00,0.00,0.00
9244,0.0,353.0,João Cancelo,2.0,13.0,53.0,0.00,0.00,0.00,0.00
9245,0.0,353.0,João Cancelo,2.0,13.0,53.0,0.00,0.00,0.00,0.00
9246,0.0,353.0,João Cancelo,2.0,13.0,53.0,0.00,0.00,0.00,0.00
9247,0.0,353.0,João Cancelo,2.0,13.0,53.0,0.00,0.00,0.00,0.00
9261,0.0,354.0,Kovačić,3.0,13.0,54.0,0.00,0.00,0.00,0.00
9262,0.0,354.0,Kovačić,3.0,13.0,54.0,0.00,0.00,0.00,0.00
9263,22.0,354.0,Kovačić,3.0,13.0,54.0,0.00,0.23,0.23,1.86
9264,83.0,354.0,Kovačić,3.0,13.0,54.0,0.02,0.06,0.08,1.67
9278,16.0,355.0,Lewis,2.0,13.0,46.0,0.00,0.00,0.00,0.10
9279,83.0,355.0,Lewis,2.0,13.0,46.0,0.15,0.03,0.18,1.23
9280,0.0,355.0,Lewis,2.0,13.0,46.0,0.00,0.00,0.00,0.00
9281,90.0,355.0,Lewis,2.0,13.0,46.0,0.00,0.06,0.06,1.67
9295,1.0,356.0,Matheus N.,3.0,13.0,49.0,0.00,0.00,0.00,0.00
9296,90.0,356.0,Matheus N.,3.0,13.0,49.0,0.07,0.43,0.50,1.34
9297,90.0,356.0,Matheus N.,3.0,13.0,49.0,0.00,0.04,0.04,2.08
9298,0.0,356.0,Matheus N.,3.0,13.0,49.0,0.00,0.00,0.00,0.00
9312,1.0,357.0,McAtee,3.0,13.0,46.0,0.00,0.00,0.00,0.00
9313,0.0,357.0,McAtee,3.0,13.0,46.0,0.00,0.00,0.00,0.00
9314,0.0,357.0,McAtee,3.0,13.0,46.0,0.00,0.00,0.00,0.00
9315,0.0,357.0,McAtee,3.0,13.0,46.0,0.00,0.00,0.00,0.00
9329,90.0,358.0,Ortega Moreno,1.0,13.0,52.0,0.00,0.00,0.00,1.04
9330,90.0,358.0,Ortega Moreno,1.0,13.0,52.0,0.00,0.00,0.00,1.34
9331,0.0,358.0,Ortega Moreno,1.0,13.0,52.0,0.00,0.00,0.00,0.00
9332,90.0,358.0,Ortega Moreno,1.0,13.0,52.0,0.00,0.00,0.00,1.67
9346,0.0,360.0,Rodrigo,3.0,13.0,63.0,0.00,0.00,0.00,0.00
9347,0.0,360.0,Rodrigo,3.0,13.0,63.0,0.00,0.00,0.00,0.00
9348,0.0,360.0,Rodrigo,3.0,13.0,63.0,0.00,0.00,0.00,0.00
9349,0.0,360.0,Rodrigo,3.0,13.0,63.0,0.00,0.00,0.00,0.00
9363,90.0,361.0,Rúben,2.0,13.0,54.0,0.00,0.02,0.02,1.04
9364,90.0,361.0,Rúben,2.0,13.0,54.0,0.00,0.02,0.02,1.34
9365,90.0,361.0,Rúben,2.0,13.0,54.0,0.48,0.01,0.49,2.08
9366,0.0,361.0,Rúben,2.0,13.0,54.0,0.00,0.00,0.00,0.00
9380,0.0,362.0,Stones,2.0,13.0,53.0,0.00,0.00,0.00,0.00
9381,0.0,362.0,Stones,2.0,13.0,53.0,0.00,0.00,0.00,0.00
9382,0.0,362.0,Stones,2.0,13.0,53.0,0.00,0.00,0.00,0.00
9383,45.0,362.0,Stones,2.0,13.0,53.0,0.00,0.03,0.03,1.23
9397,45.0,363.0,Walker,2.0,13.0,52.0,0.00,0.00,0.00,0.24
9398,90.0,363.0,Walker,2.0,13.0,52.0,0.00,0.03,0.03,1.34
9399,90.0,363.0,Walker,2.0,13.0,52.0,0.00,0.03,0.03,2.08
9400,45.0,363.0,Walker,2.0,13.0,52.0,0.00,0.01,0.01,0.44
9414,0.0,560.0,Neto,3.0,6.0,62.0,0.00,0.00,0.00,0.00
9415,85.0,560.0,Neto,3.0,6.0,62.0,0.07,0.34,0.41,1.93
9416,0.0,560.0,Neto,3.0,6.0,62.0,0.00,0.00,0.00,0.00
9417,75.0,560.0,Neto,3.0,6.0,62.0,0.09,0.03,0.12,0.71
9431,1.0,571.0,Sávio,3.0,13.0,64.0,0.00,0.00,0.00,0.00
9432,78.0,571.0,Sávio,3.0,13.0,64.0,0.29,0.04,0.33,1.23
9433,1.0,571.0,Sávio,3.0,13.0,64.0,0.00,0.00,0.00,0.54
9434,17.0,571.0,Sávio,3.0,13.0,64.0,0.00,0.01,0.01,0.09
9448,0.0,575.0,Wiley,2.0,6.0,40.0,0.00,0.00,0.00,0.00
9449,0.0,575.0,Wiley,2.0,6.0,40.0,0.00,0.00,0.00,0.00
9450,0.0,575.0,Wiley,2.0,6.0,40.0,0.00,0.00,0.00,0.00
9451,0.0,575.0,Wiley,2.0,6.0,40.0,0.00,0.00,0.00,0.00
9465,90.0,581.0,Jørgensen,1.0,6.0,42.0,0.00,0.00,0.00,1.56
9466,0.0,581.0,Jørgensen,1.0,6.0,42.0,0.00,0.00,0.00,0.00
9467,0.0,581.0,Jørgensen,1.0,6.0,42.0,0.00,0.00,0.00,0.00
9468,0.0,581.0,Jørgensen,1.0,6.0,42.0,0.00,0.00,0.00,0.00
9482,0.0,607.0,O’Reilly,3.0,13.0,49.0,0.00,0.00,0.00,0.00
9483,0.0,607.0,O’Reilly,3.0,13.0,49.0,0.00,0.00,0.00,0.00
9484,0.0,607.0,O’Reilly,3.0,13.0,49.0,0.00,0.00,0.00,0.00
9485,0.0,607.0,O’Reilly,3.0,13.0,49.0,0.00,0.00,0.00,0.00
9499,11.0,260.0,Al-Hamadi,4.0,10.0,48.0,0.00,0.01,0.01,0.00
9500,9.0,260.0,Al-Hamadi,4.0,10.0,48.0,0.00,0.00,0.00,1.42
9501,6.0,260.0,Al-Hamadi,4.0,10.0,48.0,0.06,0.00,0.06,0.37
9502,45.0,260.0,Al-Hamadi,4.0,10.0,48.0,0.29,0.01,0.30,0.50
9516,0.0,261.0,Baggott,2.0,10.0,40.0,0.00,0.00,0.00,0.00
9517,0.0,261.0,Baggott,2.0,10.0,40.0,0.00,0.00,0.00,0.00
9518,0.0,261.0,Baggott,2.0,10.0,40.0,0.00,0.00,0.00,0.00
9519,0.0,261.0,Baggott,2.0,10.0,40.0,0.00,0.00,0.00,0.00
9533,24.0,262.0,Broadhead,3.0,10.0,49.0,0.00,0.00,0.00,0.40
9534,0.0,262.0,Broadhead,3.0,10.0,49.0,0.00,0.00,0.00,0.00
9535,0.0,262.0,Broadhead,3.0,10.0,49.0,0.00,0.00,0.00,0.00
9536,12.0,262.0,Broadhead,3.0,10.0,49.0,0.04,0.02,0.06,0.00
9550,0.0,263.0,Burgess,2.0,10.0,40.0,0.00,0.00,0.00,0.00
9551,90.0,263.0,Burgess,2.0,10.0,40.0,0.03,0.13,0.16,3.28
9552,90.0,263.0,Burgess,2.0,10.0,40.0,0.00,0.00,0.00,1.27
9553,90.0,263.0,Burgess,2.0,10.0,40.0,0.00,0.00,0.00,2.33
9567,65.0,264.0,Burns,3.0,10.0,48.0,0.07,0.06,0.13,1.24
9568,1.0,264.0,Burns,3.0,10.0,48.0,0.00,0.00,0.00,0.65
9569,83.0,264.0,Burns,3.0,10.0,48.0,0.03,0.43,0.46,0.90
9570,77.0,264.0,Burns,3.0,10.0,48.0,0.03,0.02,0.05,2.33
9584,24.0,265.0,Chaplin,3.0,10.0,51.0,0.00,0.04,0.04,0.40
9585,90.0,265.0,Chaplin,3.0,10.0,51.0,0.48,0.02,0.50,3.28
9586,74.0,265.0,Chaplin,3.0,10.0,51.0,0.19,0.01,0.20,0.52
9587,61.0,265.0,Chaplin,3.0,10.0,51.0,0.00,0.19,0.19,2.23
9601,90.0,266.0,H.Clarke,2.0,10.0,40.0,0.08,0.01,0.09,1.64
9602,0.0,266.0,H.Clarke,2.0,10.0,40.0,0.00,0.00,0.00,0.00
9603,90.0,266.0,H.Clarke,2.0,10.0,40.0,0.00,0.03,0.03,1.27
9604,90.0,266.0,H.Clarke,2.0,10.0,40.0,0.00,0.01,0.01,2.33
9618,90.0,267.0,Davis,2.0,10.0,45.0,0.00,0.28,0.28,1.64
9619,90.0,267.0,Davis,2.0,10.0,45.0,0.00,0.12,0.12,3.28
9620,90.0,267.0,Davis,2.0,10.0,45.0,0.04,0.05,0.09,1.27
9621,90.0,267.0,Davis,2.0,10.0,45.0,0.00,0.14,0.14,2.33
9635,78.0,268.0,Delap,4.0,10.0,56.0,0.27,0.00,0.27,1.64
9636,80.0,268.0,Delap,4.0,10.0,56.0,0.37,0.30,0.67,1.86
9637,83.0,268.0,Delap,4.0,10.0,56.0,0.33,0.47,0.80,0.90
9638,0.0,268.0,Delap,4.0,10.0,56.0,0.00,0.00,0.00,0.00
9652,0.0,269.0,Edmundson,2.0,10.0,40.0,0.00,0.00,0.00,0.00
9653,0.0,269.0,Edmundson,2.0,10.0,40.0,0.00,0.00,0.00,0.00
9654,0.0,269.0,Edmundson,2.0,10.0,40.0,0.00,0.00,0.00,0.00
9655,0.0,269.0,Edmundson,2.0,10.0,40.0,0.00,0.00,0.00,0.00
9669,90.0,270.0,Greaves,2.0,10.0,39.0,0.01,0.01,0.02,1.64
9670,0.0,270.0,Greaves,2.0,10.0,39.0,0.00,0.00,0.00,0.00
9671,0.0,270.0,Greaves,2.0,10.0,39.0,0.00,0.00,0.00,0.00
9672,0.0,270.0,Greaves,2.0,10.0,39.0,0.00,0.00,0.00,0.00
9686,0.0,271.0,Harness,3.0,10.0,49.0,0.00,0.00,0.00,0.00
9687,0.0,271.0,Harness,3.0,10.0,49.0,0.00,0.00,0.00,0.00
9688,0.0,271.0,Harness,3.0,10.0,49.0,0.00,0.00,0.00,0.00
9689,0.0,271.0,Harness,3.0,10.0,49.0,0.00,0.00,0.00,0.00
9703,0.0,272.0,Hirst,4.0,10.0,54.0,0.00,0.00,0.00,0.00
9704,0.0,272.0,Hirst,4.0,10.0,54.0,0.00,0.00,0.00,0.00
9705,0.0,272.0,Hirst,4.0,10.0,54.0,0.00,0.00,0.00,0.00
9706,0.0,272.0,Hirst,4.0,10.0,54.0,0.00,0.00,0.00,0.00
9720,0.0,273.0,Humphreys,3.0,10.0,45.0,0.00,0.00,0.00,0.00
9721,0.0,273.0,Humphreys,3.0,10.0,45.0,0.00,0.00,0.00,0.00
9722,0.0,273.0,Humphreys,3.0,10.0,45.0,0.00,0.00,0.00,0.00
9723,0.0,273.0,Humphreys,3.0,10.0,45.0,0.00,0.00,0.00,0.00
9737,90.0,274.0,Hutchinson,3.0,10.0,52.0,0.00,0.01,0.01,1.64
9738,90.0,274.0,Hutchinson,3.0,10.0,52.0,0.07,0.11,0.18,2.63
9739,90.0,274.0,Hutchinson,3.0,10.0,52.0,0.38,0.04,0.42,1.27
9740,45.0,274.0,Hutchinson,3.0,10.0,52.0,0.01,0.01,0.02,1.83
9754,0.0,275.0,Johnson,2.0,10.0,39.0,0.00,0.00,0.00,0.00
9755,90.0,275.0,Johnson,2.0,10.0,39.0,0.00,0.00,0.00,3.28
9756,6.0,275.0,Johnson,2.0,10.0,39.0,0.00,0.00,0.00,0.37
9757,12.0,275.0,Johnson,2.0,10.0,39.0,0.00,0.00,0.00,0.00
9771,0.0,276.0,Ladapo,4.0,10.0,45.0,0.00,0.00,0.00,0.00
9772,0.0,276.0,Ladapo,4.0,10.0,45.0,0.00,0.00,0.00,0.00
9773,0.0,276.0,Ladapo,4.0,10.0,45.0,0.00,0.00,0.00,0.00
9774,0.0,276.0,Ladapo,4.0,10.0,45.0,0.00,0.00,0.00,0.00
9788,0.0,277.0,Luongo,3.0,10.0,44.0,0.00,0.00,0.00,0.00
9789,0.0,277.0,Luongo,3.0,10.0,44.0,0.00,0.00,0.00,0.00
9790,0.0,277.0,Luongo,3.0,10.0,44.0,0.00,0.00,0.00,0.00
9791,0.0,277.0,Luongo,3.0,10.0,44.0,0.00,0.00,0.00,0.00
9805,90.0,278.0,Morsy,3.0,10.0,49.0,0.05,0.04,0.09,1.64
9806,90.0,278.0,Morsy,3.0,10.0,49.0,0.00,0.05,0.05,3.28
9807,90.0,278.0,Morsy,3.0,10.0,49.0,0.00,0.02,0.02,1.27
9808,90.0,278.0,Morsy,3.0,10.0,49.0,0.00,0.03,0.03,2.33
9822,0.0,279.0,Ndaba,2.0,10.0,40.0,0.00,0.00,0.00,0.00
9823,0.0,279.0,Ndaba,2.0,10.0,40.0,0.00,0.00,0.00,0.00
9824,0.0,279.0,Ndaba,2.0,10.0,40.0,0.00,0.00,0.00,0.00
9825,0.0,279.0,Ndaba,2.0,10.0,40.0,0.00,0.00,0.00,0.00
9839,0.0,280.0,Slicker,1.0,10.0,40.0,0.00,0.00,0.00,0.00
9840,0.0,280.0,Slicker,1.0,10.0,40.0,0.00,0.00,0.00,0.00
9841,0.0,280.0,Slicker,1.0,10.0,40.0,0.00,0.00,0.00,0.00
9842,0.0,280.0,Slicker,1.0,10.0,40.0,0.00,0.00,0.00,0.00
9856,24.0,281.0,Taylor,3.0,10.0,48.0,0.00,0.01,0.01,0.40
9857,90.0,281.0,Taylor,3.0,10.0,48.0,0.09,0.44,0.53,2.63
9858,15.0,281.0,Taylor,3.0,10.0,48.0,0.11,0.01,0.12,0.75
9859,28.0,281.0,Taylor,3.0,10.0,48.0,0.00,0.00,0.00,0.09
9873,0.0,282.0,Tuanzebe,2.0,10.0,39.0,0.00,0.00,0.00,0.00
9874,0.0,282.0,Tuanzebe,2.0,10.0,39.0,0.00,0.00,0.00,0.00
9875,0.0,282.0,Tuanzebe,2.0,10.0,39.0,0.00,0.00,0.00,0.00
9876,0.0,282.0,Tuanzebe,2.0,10.0,39.0,0.00,0.00,0.00,0.00
9890,0.0,283.0,Walton,1.0,10.0,43.0,0.00,0.00,0.00,0.00
9891,0.0,283.0,Walton,1.0,10.0,43.0,0.00,0.00,0.00,0.00
9892,0.0,283.0,Walton,1.0,10.0,43.0,0.00,0.00,0.00,0.00
9893,0.0,283.0,Walton,1.0,10.0,43.0,0.00,0.00,0.00,0.00
9907,0.0,284.0,Woolfenden,2.0,10.0,40.0,0.00,0.00,0.00,0.00
9908,0.0,284.0,Woolfenden,2.0,10.0,40.0,0.00,0.00,0.00,0.00
9909,0.0,284.0,Woolfenden,2.0,10.0,40.0,0.00,0.00,0.00,0.00
9910,0.0,284.0,Woolfenden,2.0,10.0,40.0,0.00,0.00,0.00,0.00
9924,0.0,310.0,A.Becker,1.0,12.0,54.0,0.00,0.00,0.00,0.00
9926,90.0,310.0,A.Becker,1.0,12.0,54.0,0.00,0.00,0.00,1.22
9927,90.0,310.0,A.Becker,1.0,12.0,54.0,0.00,0.20,0.20,1.25
9941,23.0,311.0,Alexander-Arnold,2.0,12.0,71.0,0.00,0.36,0.36,0.85
9943,78.0,311.0,Alexander-Arnold,2.0,12.0,71.0,0.00,0.08,0.08,1.16
9944,90.0,311.0,Alexander-Arnold,2.0,12.0,71.0,0.01,0.57,0.58,1.25
9958,0.0,312.0,Bajcetic,3.0,12.0,45.0,0.00,0.00,0.00,0.00
9960,0.0,312.0,Bajcetic,3.0,12.0,45.0,0.00,0.00,0.00,0.00
9961,0.0,312.0,Bajcetic,3.0,12.0,45.0,0.00,0.00,0.00,0.00
9975,0.0,313.0,Bradley,2.0,12.0,47.0,0.00,0.00,0.00,0.00
9977,0.0,313.0,Bradley,2.0,12.0,47.0,0.00,0.00,0.00,0.00
9978,0.0,313.0,Bradley,2.0,12.0,47.0,0.00,0.00,0.00,0.00
9992,0.0,315.0,Clark,3.0,12.0,45.0,0.00,0.00,0.00,0.00
9994,0.0,315.0,Clark,3.0,12.0,45.0,0.00,0.00,0.00,0.00
9995,0.0,315.0,Clark,3.0,12.0,45.0,0.00,0.00,0.00,0.00
10009,90.0,316.0,Darwin,4.0,12.0,71.0,0.39,0.03,0.42,2.09
10011,20.0,316.0,Darwin,4.0,12.0,71.0,0.11,0.02,0.13,0.35
10012,3.0,316.0,Darwin,4.0,12.0,71.0,0.00,0.00,0.00,0.13
10026,0.0,317.0,Diogo J.,3.0,12.0,72.0,0.00,0.00,0.00,0.00
10028,11.0,317.0,Diogo J.,3.0,12.0,72.0,0.38,0.22,0.60,0.06
10029,22.0,317.0,Diogo J.,3.0,12.0,72.0,0.15,0.02,0.17,0.90
10043,0.0,318.0,Doak,3.0,12.0,45.0,0.00,0.00,0.00,0.00
10045,0.0,318.0,Doak,3.0,12.0,45.0,0.00,0.00,0.00,0.00
10046,0.0,318.0,Doak,3.0,12.0,45.0,0.00,0.00,0.00,0.00
10060,0.0,319.0,Elliott,3.0,12.0,52.0,0.00,0.00,0.00,0.00
10062,11.0,319.0,Elliott,3.0,12.0,52.0,0.04,0.07,0.11,0.06
10063,3.0,319.0,Elliott,3.0,12.0,52.0,0.00,0.00,0.00,0.13
10077,0.0,320.0,Endo,3.0,12.0,46.0,0.00,0.00,0.00,0.00
10079,0.0,320.0,Endo,3.0,12.0,46.0,0.00,0.00,0.00,0.00
10080,0.0,320.0,Endo,3.0,12.0,46.0,0.00,0.00,0.00,0.00
10094,66.0,321.0,Gakpo,4.0,12.0,72.0,0.10,0.02,0.12,1.24
10096,69.0,321.0,Gakpo,4.0,12.0,72.0,0.58,0.01,0.59,0.88
10097,67.0,321.0,Gakpo,4.0,12.0,72.0,0.06,0.09,0.15,0.34
10111,66.0,322.0,Gomez,2.0,12.0,49.0,0.00,0.01,0.01,1.24
10113,90.0,322.0,Gomez,2.0,12.0,49.0,0.03,0.02,0.05,1.22
10114,90.0,322.0,Gomez,2.0,12.0,49.0,0.00,0.01,0.01,1.25
10128,66.0,323.0,Gravenberch,3.0,12.0,50.0,0.00,0.01,0.01,1.24
10130,90.0,323.0,Gravenberch,3.0,12.0,50.0,0.00,0.06,0.06,1.22
10131,90.0,323.0,Gravenberch,3.0,12.0,50.0,0.00,0.02,0.02,1.25
10145,90.0,324.0,Jones,3.0,12.0,53.0,0.53,0.06,0.59,2.09
10147,69.0,324.0,Jones,3.0,12.0,53.0,0.04,0.02,0.06,0.88
10148,22.0,324.0,Jones,3.0,12.0,53.0,0.00,0.00,0.00,0.90
10162,90.0,325.0,Kelleher,1.0,12.0,44.0,0.00,0.00,0.00,2.09
10164,0.0,325.0,Kelleher,1.0,12.0,44.0,0.00,0.00,0.00,0.00
10165,0.0,325.0,Kelleher,1.0,12.0,44.0,0.00,0.00,0.00,0.00
10179,0.0,326.0,Konaté,2.0,12.0,51.0,0.00,0.00,0.00,0.00
10181,0.0,326.0,Konaté,2.0,12.0,51.0,0.00,0.00,0.00,0.00
10182,0.0,326.0,Konaté,2.0,12.0,51.0,0.00,0.00,0.00,0.00
10196,23.0,327.0,Luis Díaz,3.0,12.0,75.0,0.06,0.01,0.07,0.85
10198,90.0,327.0,Luis Díaz,3.0,12.0,75.0,0.64,0.04,0.68,1.22
10199,86.0,327.0,Luis Díaz,3.0,12.0,75.0,0.86,0.14,1.00,1.12
10213,90.0,328.0,M.Salah,3.0,12.0,135.0,0.68,0.24,0.92,2.09
10215,90.0,328.0,M.Salah,3.0,12.0,135.0,0.22,0.37,0.59,1.22
10216,86.0,328.0,M.Salah,3.0,12.0,135.0,1.91,0.15,2.06,1.12
10230,90.0,329.0,Mac Allister,3.0,12.0,62.0,0.23,0.11,0.34,2.09
10232,0.0,329.0,Mac Allister,3.0,12.0,62.0,0.00,0.00,0.00,0.00
10233,67.0,329.0,Mac Allister,3.0,12.0,62.0,0.46,0.23,0.69,0.34
10247,0.0,330.0,McConnell,3.0,12.0,44.0,0.00,0.00,0.00,0.00
10249,0.0,330.0,McConnell,3.0,12.0,44.0,0.00,0.00,0.00,0.00
10250,0.0,330.0,McConnell,3.0,12.0,44.0,0.00,0.00,0.00,0.00
10264,0.0,331.0,Morton,3.0,12.0,44.0,0.00,0.00,0.00,0.00
10266,0.0,331.0,Morton,3.0,12.0,44.0,0.00,0.00,0.00,0.00
10267,0.0,331.0,Morton,3.0,12.0,44.0,0.00,0.00,0.00,0.00
10281,0.0,332.0,N.Phillips,2.0,12.0,40.0,0.00,0.00,0.00,0.00
10283,0.0,332.0,N.Phillips,2.0,12.0,40.0,0.00,0.00,0.00,0.00
10284,0.0,332.0,N.Phillips,2.0,12.0,40.0,0.00,0.00,0.00,0.00
10298,90.0,333.0,Quansah,2.0,12.0,39.0,0.00,0.11,0.11,2.09
10300,20.0,333.0,Quansah,2.0,12.0,39.0,0.00,0.00,0.00,0.35
10301,0.0,333.0,Quansah,2.0,12.0,39.0,0.00,0.00,0.00,0.00
10315,0.0,334.0,R.Williams,2.0,12.0,40.0,0.00,0.00,0.00,0.00
10317,0.0,334.0,R.Williams,2.0,12.0,40.0,0.00,0.00,0.00,0.00
10318,0.0,334.0,R.Williams,2.0,12.0,40.0,0.00,0.00,0.00,0.00
10332,90.0,335.0,Robertson,2.0,12.0,59.0,0.00,0.07,0.07,2.09
10334,16.0,335.0,Robertson,2.0,12.0,59.0,0.00,0.00,0.00,0.11
10335,90.0,335.0,Robertson,2.0,12.0,59.0,0.00,0.13,0.13,1.25
10349,23.0,336.0,Szoboszlai,3.0,12.0,63.0,0.00,0.02,0.02,0.85
10351,78.0,336.0,Szoboszlai,3.0,12.0,63.0,0.00,0.44,0.44,1.16
10352,90.0,336.0,Szoboszlai,3.0,12.0,63.0,1.77,0.52,2.29,1.25
10366,0.0,337.0,Tsimikas,2.0,12.0,46.0,0.00,0.00,0.00,0.00
10368,0.0,337.0,Tsimikas,2.0,12.0,46.0,0.00,0.00,0.00,0.00
10369,0.0,337.0,Tsimikas,2.0,12.0,46.0,0.00,0.00,0.00,0.00
10383,90.0,338.0,Van den Berg,2.0,4.0,41.0,0.00,0.01,0.01,2.43
10384,90.0,338.0,Van den Berg,2.0,4.0,41.0,0.00,0.01,0.01,1.48
10385,90.0,338.0,Van den Berg,2.0,4.0,41.0,0.00,0.00,0.00,2.23
10386,0.0,338.0,Van den Berg,2.0,4.0,41.0,0.00,0.00,0.00,0.00
10400,90.0,339.0,Virgil,2.0,12.0,65.0,0.00,0.01,0.01,2.09
10402,90.0,339.0,Virgil,2.0,12.0,65.0,0.09,0.02,0.11,1.22
10403,90.0,339.0,Virgil,2.0,12.0,65.0,0.00,0.00,0.00,1.25
10417,0.0,359.0,Phillips,3.0,10.0,48.0,0.00,0.00,0.00,0.00
10418,0.0,359.0,Phillips,3.0,10.0,48.0,0.00,0.00,0.00,0.00
10419,0.0,359.0,Phillips,3.0,10.0,48.0,0.00,0.00,0.00,0.00
10420,28.0,359.0,Phillips,3.0,10.0,48.0,0.00,0.01,0.01,0.09
10434,90.0,568.0,Muric,1.0,10.0,44.0,0.00,0.01,0.01,1.64
10435,90.0,568.0,Muric,1.0,10.0,44.0,0.00,0.00,0.00,3.28
10436,90.0,568.0,Muric,1.0,10.0,44.0,0.00,0.00,0.00,1.27
10437,90.0,568.0,Muric,1.0,10.0,44.0,0.00,0.00,0.00,2.33
10451,0.0,583.0,Townsend,2.0,10.0,40.0,0.00,0.00,0.00,0.00
10452,0.0,583.0,Townsend,2.0,10.0,40.0,0.00,0.00,0.00,0.00
10453,0.0,583.0,Townsend,2.0,10.0,40.0,0.00,0.00,0.00,0.00
10454,0.0,583.0,Townsend,2.0,10.0,40.0,0.00,0.00,0.00,0.00
10468,0.0,611.0,Szmodics,3.0,10.0,58.0,0.00,0.00,0.00,0.00
10469,79.0,611.0,Szmodics,3.0,10.0,58.0,0.25,0.25,0.50,1.86
10470,0.0,611.0,Szmodics,3.0,10.0,58.0,0.00,0.00,0.00,0.00
10471,77.0,611.0,Szmodics,3.0,10.0,58.0,0.27,0.05,0.32,2.33
10484,90.0,622.0,Berge,3.0,9.0,50.0,0.00,0.00,0.00,1.27
10485,90.0,622.0,Berge,3.0,9.0,50.0,0.00,0.00,0.00,2.03
10486,90.0,622.0,Berge,3.0,9.0,50.0,0.00,0.01,0.01,2.13
10487,75.0,622.0,Berge,3.0,9.0,50.0,0.00,0.02,0.02,0.21
10500,18.0,620.0,Sosa,3.0,16.0,55.0,0.00,0.00,0.00,0.15
10501,0.0,620.0,Sosa,3.0,16.0,55.0,0.00,0.00,0.00,0.00
10502,0.0,620.0,Sosa,3.0,16.0,55.0,0.00,0.00,0.00,0.00
10503,0.0,620.0,Sosa,3.0,16.0,55.0,0.00,0.00,0.00,0.00
10516,78.0,623.0,M.Fernandes,3.0,17.0,50.0,0.53,0.04,0.57,5.11
10517,90.0,623.0,M.Fernandes,3.0,17.0,50.0,0.07,0.07,0.14,2.29
10518,90.0,623.0,M.Fernandes,3.0,17.0,50.0,0.00,0.03,0.03,2.44
10519,90.0,623.0,M.Fernandes,3.0,17.0,50.0,0.05,0.31,0.36,1.04
10532,84.0,617.0,Evanilson,4.0,3.0,60.0,0.59,0.08,0.67,0.55
10533,73.0,617.0,Evanilson,4.0,3.0,60.0,0.15,0.00,0.15,1.13
10534,79.0,617.0,Evanilson,4.0,3.0,60.0,0.13,0.31,0.44,1.25
10535,70.0,617.0,Evanilson,4.0,3.0,60.0,0.04,0.12,0.16,1.51
10548,0.0,624.0,Begovic,1.0,8.0,40.0,0.00,0.00,0.00,0.00
10550,0.0,624.0,Begovic,1.0,8.0,40.0,0.00,0.00,0.00,0.00
10551,0.0,624.0,Begovic,1.0,8.0,40.0,0.00,0.00,0.00,0.00
10564,0.0,627.0,Dixon,2.0,8.0,40.0,0.00,0.00,0.00,0.00
10566,0.0,627.0,Dixon,2.0,8.0,40.0,0.00,0.00,0.00,0.00
10567,0.0,627.0,Dixon,2.0,8.0,40.0,0.00,0.00,0.00,0.00
10580,9.0,618.0,Georginio,3.0,5.0,54.0,0.00,0.00,0.00,0.03
