,event,playerid,web_name,element_type,team,now_cost,expected_goals.gw,expected_assists.gw,expected_goal_involvements.gw,expected_goals_conceded.gw,XGI_Weighted,XGC_Weighted,AttackOpp_pergame,DefenceOpp_pergame
76,35.0,4.0,Havertz,4.0,1.0,79.0,0.3935294117647059,0.07411764705882352,0.4676470588235294,0.91,0.5897893416787048,2.693158923575,1.2594478495541912,0.5367083009276213
77,24.0,4.0,Havertz,4.0,1.0,79.0,0.3935294117647059,0.07411764705882352,0.4676470588235294,0.91,0.6379983648101909,1.8118273038000001,0.8472957097182353,0.5805785119772737
78,38.0,4.0,Havertz,4.0,1.0,79.0,0.3935294117647059,0.07411764705882352,0.4676470588235294,0.91,0.24705882352941178,4.76,2.226,0.22482352941176473
79,36.0,4.0,Havertz,4.0,1.0,79.0,0.3935294117647059,0.07411764705882352,0.4676470588235294,0.91,0.8266669419453656,1.9589323501599998,0.9160889519865881,0.7522669171702827
80,23.0,4.0,Havertz,4.0,1.0,79.0,0.3935294117647059,0.07411764705882352,0.4676470588235294,0.91,0.32367788494185806,1.64266044076,0.7681853237671765,0.29454687529709084
81,29.0,4.0,Havertz,4.0,1.0,79.0,0.3935294117647059,0.07411764705882352,0.4676470588235294,0.91,0.9223346090599682,2.4234503627,1.1333194343214708,0.8393244942445711
82,27.0,4.0,Havertz,4.0,1.0,79.0,0.3935294117647059,0.07411764705882352,0.4676470588235294,0.91,0.38042269822468006,2.11041091405,0.9869274568645588,0.34618465538445886
83,37.0,4.0,Havertz,4.0,1.0,79.0,0.3935294117647059,0.07411764705882352,0.4676470588235294,0.91,0.7766434757614936,1.54409883446,0.7220932784680588,0.7067455629429592
84,31.0,6.0,J.Timber,2.0,1.0,57.0,0.039411764705882354,0.04647058823529412,0.08588235294117647,0.6876470588235294,0.12447391851733418,1.4551910592266666,0.124975232145349,0.0855941239686845
85,20.0,6.0,J.Timber,2.0,1.0,57.0,0.039411764705882354,0.04647058823529412,0.08588235294117647,0.6876470588235294,0.41673048707050014,2.01927785215,0.17342033318464706,0.2865634937561263
86,25.0,6.0,J.Timber,2.0,1.0,57.0,0.039411764705882354,0.04647058823529412,0.08588235294117647,0.6876470588235294,0.2729411764705883,4.03325,0.34638499999999994,0.18768719723183394
87,34.0,6.0,J.Timber,2.0,1.0,57.0,0.039411764705882354,0.04647058823529412,0.08588235294117647,0.6876470588235294,0.40172110633422187,2.4442081447,0.20991434654482352,0.27624233723806196
88,30.0,6.0,J.Timber,2.0,1.0,57.0,0.039411764705882354,0.04647058823529412,0.08588235294117647,0.6876470588235294,0.2351459292316733,2.22091873632,0.19073772676630585,0.16169740663048593
89,21.0,6.0,J.Timber,2.0,1.0,57.0,0.039411764705882354,0.04647058823529412,0.08588235294117647,0.6876470588235294,0.5876728380571572,3.66510047856,0.3147674528645647,0.40411149864048046
